invoice_id,subscription_id,customer_id,invoice_date,billing_period_start,billing_period_end,list_price,discount_pct,amount_billed,status,is_renewal
INV-000054,SUB-00003,CUST-0003,2025-03-05,2025-03-05,2025-04-03,399,0,399.0,paid,True
INV-000055,SUB-00003,CUST-0003,2025-04-04,2025-04-04,2025-05-03,399,0,399.0,failed,True
INV-000056,SUB-00003,CUST-0003,2025-05-04,2025-05-04,2025-06-02,399,0,399.0,paid,True
INV-000057,SUB-00003,CUST-0003,2025-06-03,2025-06-03,2025-07-02,399,0,399.0,paid,True
INV-000058,SUB-00003,CUST-0003,2025-07-03,2025-07-03,2025-08-01,399,0,399.0,paid,True
INV-000059,SUB-00003,CUST-0003,2025-08-02,2025-08-02,2025-08-31,399,0,399.0,paid,True
INV-000060,SUB-00003,CUST-0003,2025-09-01,2025-09-01,2025-09-30,399,0,399.0,paid,True
INV-000061,SUB-00003,CUST-0003,2025-10-01,2025-10-01,2025-10-30,399,0,399.0,paid,True
INV-000062,SUB-00003,CUST-0003,2025-10-31,2025-10-31,2025-11-29,399,0,399.0,paid,True
INV-000063,SUB-00003,CUST-0003,2025-11-30,2025-11-30,2025-12-29,399,0,399.0,paid,True
INV-000064,SUB-00003,CUST-0003,2025-12-30,2025-12-30,2026-01-28,399,0,399.0,paid,True
INV-000065,SUB-00003,CUST-0003,2026-01-29,2026-01-29,2026-02-27,399,0,399.0,paid,True
INV-000066,SUB-00003,CUST-0003,2026-02-28,2026-02-28,2026-03-29,399,0,399.0,paid,True
INV-000067,SUB-00003,CUST-0003,2026-03-30,2026-03-30,2026-04-28,399,0,399.0,paid,True
INV-000068,SUB-00004,CUST-0004,2024-09-20,2024-09-20,2025-09-19,66000,75,16500.0,paid,False
INV-000069,SUB-00004,CUST-0004,2025-09-20,2025-09-20,2026-09-19,66000,0,66000.0,paid,True
INV-000070,SUB-00005,CUST-0005,2023-08-08,2023-08-08,2024-08-06,66000,0,66000.0,paid,False
INV-000071,SUB-00005,CUST-0005,2024-08-07,2024-08-07,2025-08-06,66000,0,66000.0,paid,True
INV-000072,SUB-00005,CUST-0005,2025-08-07,2025-08-07,2026-08-06,66000,0,66000.0,paid,True
INV-000073,SUB-00006,CUST-0006,2024-07-03,2024-07-03,2024-08-01,99,0,99.0,paid,False
INV-000074,SUB-00006,CUST-0006,2024-08-02,2024-08-02,2024-08-31,99,0,99.0,paid,True
INV-000075,SUB-00006,CUST-0006,2024-09-01,2024-09-01,2024-09-30,99,0,99.0,paid,True
INV-000076,SUB-00006,CUST-0006,2024-10-01,2024-10-01,2024-10-30,99,0,99.0,paid,True
INV-000077,SUB-00006,CUST-0006,2024-10-31,2024-10-31,2024-11-29,99,0,99.0,paid,True
INV-000078,SUB-00006,CUST-0006,2024-11-30,2024-11-30,2024-12-29,99,0,99.0,paid,True
INV-000079,SUB-00006,CUST-0006,2024-12-30,2024-12-30,2025-01-28,99,0,99.0,paid,True
INV-000080,SUB-00006,CUST-0006,2025-01-29,2025-01-29,2025-02-27,99,0,99.0,paid,True
INV-000081,SUB-00006,CUST-0006,2025-02-28,2025-02-28,2025-03-29,99,0,99.0,paid,True
INV-000082,SUB-00006,CUST-0006,2025-03-30,2025-03-30,2025-04-28,99,0,99.0,paid,True
INV-000083,SUB-00006,CUST-0006,2025-04-29,2025-04-29,2025-05-28,99,0,99.0,paid,True
INV-000084,SUB-00006,CUST-0006,2025-05-29,2025-05-29,2025-06-27,99,0,99.0,paid,True
INV-000085,SUB-00006,CUST-0006,2025-06-28,2025-06-28,2025-07-27,99,0,99.0,paid,True
INV-000086,SUB-00006,CUST-0006,2025-07-28,2025-07-28,2025-08-26,99,0,99.0,paid,True
INV-000087,SUB-00006,CUST-0006,2025-08-27,2025-08-27,2025-09-25,99,0,99.0,paid,True
INV-000088,SUB-00006,CUST-0006,2025-09-26,2025-09-26,2025-10-25,99,0,99.0,paid,True
INV-000089,SUB-00006,CUST-0006,2025-10-26,2025-10-26,2025-11-24,99,0,99.0,paid,True
INV-000090,SUB-00006,CUST-0006,2025-11-25,2025-11-25,2025-12-24,99,0,99.0,paid,True
INV-000091,SUB-00006,CUST-0006,2025-12-25,2025-12-25,2026-01-23,99,0,99.0,paid,True
INV-000092,SUB-00006,CUST-0006,2026-01-24,2026-01-24,2026-02-22,99,0,99.0,paid,True
INV-000093,SUB-00006,CUST-0006,2026-02-23,2026-02-23,2026-03-24,99,0,99.0,paid,True
INV-000094,SUB-00006,CUST-0006,2026-03-25,2026-03-25,2026-04-23,99,0,99.0,paid,True
INV-000095,SUB-00007,CUST-0007,2024-11-17,2024-11-17,2025-11-16,144000,0,144000.0,paid,False
INV-000096,SUB-00007,CUST-0007,2025-11-17,2025-11-17,2026-11-16,144000,0,144000.0,paid,True
INV-000097,SUB-00008,CUST-0008,2024-09-17,2024-09-17,2024-10-16,1999,0,1999.0,paid,False
INV-000098,SUB-00008,CUST-0008,2024-10-17,2024-10-17,2024-11-15,1999,0,1999.0,paid,True
INV-000099,SUB-00008,CUST-0008,2024-11-16,2024-11-16,2024-12-15,1999,0,1999.0,paid,True
INV-000100,SUB-00008,CUST-0008,2024-12-16,2024-12-16,2025-01-14,1999,0,1999.0,paid,True
INV-000101,SUB-00008,CUST-0008,2025-01-15,2025-01-15,2025-02-13,1999,0,1999.0,paid,True
INV-000102,SUB-00008,CUST-0008,2025-02-14,2025-02-14,2025-03-15,1999,0,1999.0,failed,True
INV-000103,SUB-00008,CUST-0008,,2025-03-16,2025-04-14,1999,0,1999.0,paid,True
INV-000104,SUB-00008,CUST-0008,2025-04-15,2025-04-15,2025-05-14,1999,0,1999.0,paid,True
INV-000105,SUB-00008,CUST-0008,2025-05-15,2025-05-15,2025-06-13,1999,0,1999.0,paid,True
INV-000106,SUB-00008,CUST-0008,2025-06-14,2025-06-14,2025-07-13,1999,0,1999.0,paid,True
INV-000107,SUB-00008,CUST-0008,2025-07-14,2025-07-14,2025-08-12,1999,0,1999.0,paid,True
INV-000108,SUB-00008,CUST-0008,2025-08-13,2025-08-13,2025-09-11,1999,0,1999.0,paid,True
INV-000109,SUB-00008,CUST-0008,2025-09-12,2025-09-12,2025-10-11,1999,0,1999.0,refunded,True
INV-000110,SUB-00008,CUST-0008,2025-10-12,2025-10-12,2025-11-10,1999,0,1999.0,paid,True
INV-000111,SUB-00008,CUST-0008,2025-11-11,2025-11-11,2025-12-10,1999,0,1999.0,paid,True
INV-000112,SUB-00008,CUST-0008,2025-12-11,2025-12-11,2026-01-09,1999,0,1999.0,paid,True
INV-000113,SUB-00008,CUST-0008,2026-01-10,2026-01-10,2026-02-08,1999,0,1999.0,paid,True
INV-000114,SUB-00008,CUST-0008,2026-02-09,2026-02-09,2026-03-10,1999,0,1999.0,paid,True
INV-000115,SUB-00008,CUST-0008,2026-03-11,2026-03-11,2026-04-09,1999,0,1999.0,paid,True
INV-000116,SUB-00009,CUST-0009,2024-09-24,2024-09-24,2024-10-23,1999,0,1999.0,paid,False
INV-000117,SUB-00009,CUST-0009,2024-10-24,2024-10-24,2024-11-22,1999,0,1999.0,paid,True
INV-000118,SUB-00009,CUST-0009,2024-11-23,2024-11-23,2024-12-22,1999,0,1999.0,paid,True
INV-000119,SUB-00009,CUST-0009,2024-12-23,2024-12-23,2025-01-21,1999,0,1999.0,paid,True
INV-000120,SUB-00009,CUST-0009,2025-01-22,2025-01-22,2025-02-20,1999,0,1999.0,paid,True
INV-000121,SUB-00009,CUST-0009,2025-02-21,2025-02-21,2025-03-22,1999,0,1999.0,paid,True
INV-000122,SUB-00009,CUST-0009,2025-03-23,2025-03-23,2025-04-21,1999,0,1999.0,paid,True
INV-000123,SUB-00009,CUST-0009,2025-04-22,2025-04-22,2025-05-21,1999,0,1999.0,paid,True
INV-000124,SUB-00009,CUST-0009,2025-05-22,2025-05-22,2025-06-20,1999,0,1999.0,paid,True
INV-000125,SUB-00009,CUST-0009,2025-06-21,2025-06-21,2025-07-20,1999,0,1999.0,paid,True
INV-000126,SUB-00009,CUST-0009,2025-07-21,2025-07-21,2025-08-19,1999,0,1999.0,paid,True
INV-000127,SUB-00009,CUST-0009,2025-08-20,2025-08-20,2025-09-18,1999,0,1999.0,paid,True
INV-000128,SUB-00009,CUST-0009,2025-09-19,2025-09-19,2025-10-18,1999,0,1999.0,paid,True
INV-000129,SUB-00009,CUST-0009,2025-10-19,2025-10-19,2025-11-17,1999,0,1999.0,paid,True
INV-000130,SUB-00009,CUST-0009,2025-11-18,2025-11-18,2025-12-17,1999,0,1999.0,paid,True
INV-000131,SUB-00009,CUST-0009,2025-12-18,2025-12-18,2026-01-16,1999,0,1999.0,paid,True
INV-000132,SUB-00009,CUST-0009,2026-01-17,2026-01-17,2026-02-15,1999,0,1999.0,paid,True
INV-000133,SUB-00009,CUST-0009,2026-02-16,2026-02-16,2026-03-17,1999,0,1999.0,paid,True
INV-000134,SUB-00009,CUST-0009,2026-03-18,2026-03-18,2026-04-16,1999,0,1999.0,paid,True
INV-000135,SUB-00010,CUST-0010,2024-08-27,2024-08-27,2024-09-25,799,0,799.0,paid,False
INV-000136,SUB-00010,CUST-0010,2024-09-26,2024-09-26,2024-10-25,799,0,799.0,failed,True
INV-000137,SUB-00010,CUST-0010,2024-10-26,2024-10-26,2024-11-24,799,0,799.0,paid,True
INV-000138,SUB-00010,CUST-0010,2024-11-25,2024-11-25,2024-12-24,799,0,799.0,refunded,True
INV-000139,SUB-00010,CUST-0010,2024-12-25,2024-12-25,2025-01-23,799,0,799.0,paid,True
INV-000140,SUB-00010,CUST-0010,2025-01-24,2025-01-24,2025-02-22,799,0,799.0,paid,True
INV-000141,SUB-00010,CUST-0010,2025-02-23,2025-02-23,2025-03-24,799,0,799.0,paid,True
INV-000142,SUB-00010,CUST-0010,2025-03-25,2025-03-25,2025-04-23,799,0,799.0,paid,True
INV-000143,SUB-00010,CUST-0010,2025-04-24,2025-04-24,2025-05-23,799,0,799.0,paid,True
INV-000144,SUB-00010,CUST-0010,2025-05-24,2025-05-24,2025-06-22,799,0,799.0,paid,True
INV-000145,SUB-00010,CUST-0010,2025-06-23,2025-06-23,2025-07-22,799,0,799.0,paid,True
INV-000146,SUB-00010,CUST-0010,2025-07-23,2025-07-23,2025-08-21,799,0,799.0,paid,True
INV-000147,SUB-00010,CUST-0010,2025-08-22,2025-08-22,2025-09-20,799,0,799.0,paid,True
INV-000148,SUB-00010,CUST-0010,2025-09-21,2025-09-21,2025-10-20,799,0,799.0,paid,True
INV-000149,SUB-00010,CUST-0010,2025-10-21,2025-10-21,2025-11-19,799,0,799.0,paid,True
INV-000150,SUB-00010,CUST-0010,2025-11-20,2025-11-20,2025-12-19,799,0,799.0,paid,True
INV-000151,SUB-00010,CUST-0010,2025-12-20,2025-12-20,2026-01-18,799,0,799.0,paid,True
INV-000152,SUB-00010,CUST-0010,2026-01-19,2026-01-19,2026-02-17,799,0,799.0,paid,True
INV-000153,SUB-00010,CUST-0010,2026-02-18,2026-02-18,2026-03-19,799,0,799.0,paid,True
INV-000154,SUB-00010,CUST-0010,2026-03-20,2026-03-20,2026-04-18,799,0,799.0,paid,True
INV-000155,SUB-00011,CUST-0011,2023-04-30,2023-04-30,2024-04-28,1188,0,1188.0,paid,False
INV-000156,SUB-00011,CUST-0011,2024-04-29,2024-04-29,2025-04-28,1188,0,1188.0,paid,True
INV-000157,SUB-00011,CUST-0011,2025-04-29,2025-04-29,2026-04-28,1188,0,1188.0,paid,True
INV-000158,SUB-00012,CUST-0012,2023-05-22,2023-05-22,2024-05-20,66000,0,66000.0,paid,False
INV-000159,SUB-00012,CUST-0012,2024-05-21,2024-05-21,2025-05-20,66000,0,66000.0,paid,True
INV-000160,SUB-00012,CUST-0012,2025-05-21,2025-05-21,2026-05-20,66000,0,66000.0,paid,True
INV-000161,SUB-00013,CUST-0013,2024-05-16,2024-05-16,2024-06-14,249,0,249.0,paid,False
INV-000162,SUB-00013,CUST-0013,2024-06-15,2024-06-15,2024-07-14,249,0,249.0,paid,True
INV-000163,SUB-00013,CUST-0013,2024-07-15,2024-07-15,2024-08-13,249,0,249.0,paid,True
INV-000164,SUB-00013,CUST-0013,2024-08-14,2024-08-14,2024-09-12,249,0,249.0,paid,True
INV-000165,SUB-00013,CUST-0013,2024-09-13,2024-09-13,2024-10-12,249,0,249.0,paid,True
INV-000166,SUB-00013,CUST-0013,2024-10-13,2024-10-13,2024-11-11,249,0,249.0,paid,True
INV-000167,SUB-00013,CUST-0013,2024-11-12,2024-11-12,2024-12-11,249,0,249.0,paid,True
INV-000168,SUB-00013,CUST-0013,2024-12-12,2024-12-12,2025-01-10,249,0,249.0,paid,True
INV-000169,SUB-00013,CUST-0013,2025-01-11,2025-01-11,2025-02-09,249,0,249.0,paid,True
INV-000170,SUB-00013,CUST-0013,2025-02-10,2025-02-10,2025-03-11,249,0,249.0,paid,True
INV-000171,SUB-00013,CUST-0013,2025-03-12,2025-03-12,2025-04-10,249,0,249.0,paid,True
INV-000172,SUB-00013,CUST-0013,2025-04-11,2025-04-11,2025-05-10,249,0,249.0,paid,True
INV-000173,SUB-00013,CUST-0013,2025-05-11,2025-05-11,2025-06-09,249,0,249.0,paid,True
INV-000174,SUB-00013,CUST-0013,2025-06-10,2025-06-10,2025-07-09,249,0,249.0,paid,True
INV-000175,SUB-00013,CUST-0013,2025-07-10,2025-07-10,2025-08-08,249,0,249.0,paid,True
INV-000176,SUB-00013,CUST-0013,2025-08-09,2025-08-09,2025-09-07,249,0,249.0,paid,True
INV-000177,SUB-00013,CUST-0013,2025-09-08,2025-09-08,2025-10-07,249,0,249.0,paid,True
INV-000178,SUB-00013,CUST-0013,2025-10-08,2025-10-08,2025-11-06,249,0,249.0,paid,True
INV-000179,SUB-00013,CUST-0013,2025-11-07,2025-11-07,2025-12-06,249,0,249.0,paid,True
INV-000180,SUB-00013,CUST-0013,2025-12-07,2025-12-07,2026-01-05,249,0,249.0,paid,True
INV-000181,SUB-00013,CUST-0013,2026-01-06,2026-01-06,2026-02-04,249,0,249.0,paid,True
INV-000182,SUB-00013,CUST-0013,2026-02-05,2026-02-05,2026-03-06,249,0,249.0,paid,True
INV-000183,SUB-00013,CUST-0013,2026-03-07,2026-03-07,2026-04-05,249,0,249.0,paid,True
INV-000184,SUB-00014,CUST-0014,2024-01-03,2024-01-03,2025-01-01,144000,0,144000.0,paid,False
INV-000185,SUB-00014,CUST-0014,2025-01-02,2025-01-02,2026-01-01,144000,0,144000.0,paid,True
INV-000186,SUB-00014,CUST-0014,2026-01-02,2026-01-02,2027-01-01,144000,0,144000.0,paid,True
INV-000187,SUB-00015,CUST-0015,2024-06-01,2024-06-01,2024-06-30,5500,0,5500.0,paid,False
INV-000188,SUB-00015,CUST-0015,2024-07-01,2024-07-01,2024-07-30,5500,0,5500.0,paid,True
INV-000189,SUB-00015,CUST-0015,2024-07-31,2024-07-31,2024-08-29,5500,0,5500.0,paid,True
INV-000190,SUB-00015,CUST-0015,2024-08-30,2024-08-30,2024-09-28,5500,0,5500.0,paid,True
INV-000191,SUB-00015,CUST-0015,2024-09-29,2024-09-29,2024-10-28,5500,0,5500.0,failed,True
INV-000192,SUB-00015,CUST-0015,2024-10-29,2024-10-29,2024-11-27,5500,0,5500.0,paid,True
INV-000193,SUB-00015,CUST-0015,2024-11-28,2024-11-28,2024-12-27,5500,0,5500.0,paid,True
INV-000194,SUB-00015,CUST-0015,2024-12-28,2024-12-28,2025-01-26,5500,0,5500.0,paid,True
INV-000195,SUB-00015,CUST-0015,2025-01-27,2025-01-27,2025-02-25,5500,0,5500.0,paid,True
INV-000196,SUB-00015,CUST-0015,2025-02-26,2025-02-26,2025-03-27,5500,0,5500.0,paid,True
INV-000197,SUB-00015,CUST-0015,2025-03-28,2025-03-28,2025-04-26,5500,0,5500.0,paid,True
INV-000198,SUB-00015,CUST-0015,2025-04-27,2025-04-27,2025-05-26,5500,0,5500.0,paid,True
INV-000199,SUB-00015,CUST-0015,2025-05-27,2025-05-27,2025-06-25,5500,0,5500.0,paid,True
INV-000200,SUB-00015,CUST-0015,2025-06-26,2025-06-26,2025-07-25,5500,0,5500.0,paid,True
INV-000201,SUB-00015,CUST-0015,2025-07-26,2025-07-26,2025-08-24,5500,0,5500.0,paid,True
INV-000202,SUB-00015,CUST-0015,2025-08-25,2025-08-25,2025-09-23,5500,0,5500.0,paid,True
INV-000203,SUB-00015,CUST-0015,2025-09-24,2025-09-24,2025-10-23,5500,0,5500.0,paid,True
INV-000204,SUB-00015,CUST-0015,2025-10-24,2025-10-24,2025-11-22,5500,0,5500.0,paid,True
INV-000205,SUB-00015,CUST-0015,2025-11-23,2025-11-23,2025-12-22,5500,0,5500.0,paid,True
INV-000206,SUB-00015,CUST-0015,2025-12-23,2025-12-23,2026-01-21,5500,0,5500.0,paid,True
INV-000207,SUB-00015,CUST-0015,2026-01-22,2026-01-22,2026-02-20,5500,0,5500.0,paid,True
INV-000208,SUB-00015,CUST-0015,2026-02-21,2026-02-21,2026-03-22,5500,0,5500.0,paid,True
INV-000209,SUB-00015,CUST-0015,2026-03-23,2026-03-23,2026-04-21,5500,0,5500.0,paid,True
INV-000210,SUB-00016,CUST-0016,2024-03-30,2024-03-30,2025-03-29,66000,0,66000.0,paid,False
INV-000211,SUB-00016,CUST-0016,2025-03-30,2025-03-30,2026-03-29,66000,0,66000.0,paid,True
INV-000212,SUB-00016,CUST-0016,2026-03-30,2026-03-30,2027-03-29,66000,0,66000.0,paid,True
INV-000213,SUB-00017,CUST-0017,2023-10-09,2023-10-09,2024-10-07,4788,0,4788.0,paid,False
INV-000214,SUB-00017,CUST-0017,2024-10-08,2024-10-08,2025-10-07,4788,0,4788.0,paid,True
INV-000215,SUB-00017,CUST-0017,2025-10-08,2025-10-08,2026-10-07,4788,0,4788.0,paid,True
INV-000216,SUB-00018,CUST-0018,2024-05-22,2024-05-22,2025-05-21,144000,0,144000.0,paid,False
INV-000217,SUB-00018,CUST-0018,2025-05-22,2025-05-22,2026-05-21,144000,0,144000.0,paid,True
INV-000218,SUB-00019,CUST-0019,2024-01-11,2024-01-11,2024-02-09,799,0,799.0,paid,False
INV-000219,SUB-00019,CUST-0019,2024-02-10,2024-02-10,2024-03-10,799,0,799.0,paid,True
INV-000220,SUB-00019,CUST-0019,2024-03-11,2024-03-11,2024-04-09,799,0,799.0,paid,True
INV-000221,SUB-00019,CUST-0019,2024-04-10,2024-04-10,2024-05-09,799,0,799.0,paid,True
INV-000222,SUB-00019,CUST-0019,2024-05-10,2024-05-10,2024-06-08,799,0,799.0,paid,True
INV-000223,SUB-00019,CUST-0019,2024-06-09,2024-06-09,2024-07-08,799,0,799.0,paid,True
INV-000224,SUB-00019,CUST-0019,2024-07-09,2024-07-09,2024-08-07,799,0,799.0,paid,True
INV-000225,SUB-00019,CUST-0019,2024-08-08,2024-08-08,2024-09-06,799,0,799.0,paid,True
INV-000226,SUB-00019,CUST-0019,2024-09-07,2024-09-07,2024-10-06,799,0,799.0,paid,True
INV-000227,SUB-00019,CUST-0019,2024-10-07,2024-10-07,2024-11-05,799,0,799.0,paid,True
INV-000228,SUB-00019,CUST-0019,2024-11-06,2024-11-06,2024-12-05,799,0,799.0,paid,True
INV-000229,SUB-00019,CUST-0019,2024-12-06,2024-12-06,2025-01-04,799,0,799.0,paid,True
INV-000230,SUB-00019,CUST-0019,2025-01-05,2025-01-05,2025-02-03,799,0,799.0,paid,True
INV-000231,SUB-00019,CUST-0019,2025-02-04,2025-02-04,2025-03-05,799,0,799.0,paid,True
INV-000232,SUB-00019,CUST-0019,2025-03-06,2025-03-06,2025-04-04,799,0,799.0,paid,True
INV-000233,SUB-00019,CUST-0019,2025-04-05,2025-04-05,2025-05-04,799,0,799.0,paid,True
INV-000234,SUB-00019,CUST-0019,2025-05-05,2025-05-05,2025-06-03,799,0,799.0,paid,True
INV-000235,SUB-00019,CUST-0019,2025-06-04,2025-06-04,2025-07-03,799,0,799.0,paid,True
INV-000236,SUB-00019,CUST-0019,2025-07-04,2025-07-04,2025-08-02,799,0,799.0,paid,True
INV-000237,SUB-00019,CUST-0019,2025-08-03,2025-08-03,2025-09-01,799,0,799.0,paid,True
INV-000238,SUB-00019,CUST-0019,2025-09-02,2025-09-02,2025-10-01,799,0,799.0,paid,True
INV-000239,SUB-00019,CUST-0019,2025-10-02,2025-10-02,2025-10-31,799,0,799.0,paid,True
INV-000240,SUB-00019,CUST-0019,2025-11-01,2025-11-01,2025-11-30,799,0,799.0,paid,True
INV-000241,SUB-00019,CUST-0019,2025-12-01,2025-12-01,2025-12-30,799,0,799.0,paid,True
INV-000242,SUB-00020,CUST-0020,2024-03-11,2024-03-11,2025-03-10,144000,0,144000.0,paid,False
INV-000243,SUB-00020,CUST-0020,2025-03-11,2025-03-11,2026-03-10,144000,0,144000.0,paid,True
INV-000244,SUB-00020,CUST-0020,2026-03-11,2026-03-11,2027-03-10,144000,0,144000.0,paid,True
INV-000245,SUB-00021,CUST-0021,2023-02-03,2023-02-03,2023-03-04,799,0,799.0,paid,False
INV-000246,SUB-00021,CUST-0021,2023-03-05,2023-03-05,2023-04-03,799,0,799.0,paid,True
INV-000247,SUB-00021,CUST-0021,2023-04-04,2023-04-04,2023-05-03,799,0,799.0,paid,True
INV-000248,SUB-00021,CUST-0021,2023-05-04,2023-05-04,2023-06-02,799,0,799.0,paid,True
INV-000249,SUB-00021,CUST-0021,2023-06-03,2023-06-03,2023-07-02,799,0,799.0,paid,True
INV-000250,SUB-00021,CUST-0021,2023-07-03,2023-07-03,2023-08-01,799,0,799.0,paid,True
INV-000251,SUB-00021,CUST-0021,2023-08-02,2023-08-02,2023-08-31,799,0,799.0,paid,True
INV-000252,SUB-00021,CUST-0021,2023-09-01,2023-09-01,2023-09-30,799,0,799.0,paid,True
INV-000253,SUB-00021,CUST-0021,2023-10-01,2023-10-01,2023-10-30,799,0,799.0,paid,True
